URL,Nor/Mal,has_ip,long_url,is_shortened,has_at_symbol,has_double_slash,has_dash,subdomain_count,is_https,domain_reg_length,has_favicon,non_standard_port
bo.ilogenci.com/,1,0,16,1,0,0,0,-1,0,3,0,1
https://c11.kr/1ak6y,1,0,20,1,0,0,0,0,1,2,0,1
https://buly.kr/5q2Q21g,1,0,23,1,0,0,0,0,1,3,1,0
http://bit.ly/3OjdJhz,1,0,21,1,0,0,0,0,0,2,1,1
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,1,1,0
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,2,0,0
bo.ilogenci.com/,1,0,16,1,0,0,0,-1,0,4,1,1
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,3,0,0
skm.ilogenciskn.com,1,0,19,1,0,0,0,-1,0,4,1,1
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,2,1,0
gmk.ilogenkdon.com/,1,0,19,1,0,0,0,-1,0,3,1,1
ko.ilogensmi.com/,1,0,17,1,0,0,0,-1,0,3,0,0
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,4,1,0
ko.ilogensmi.com/,1,0,17,1,0,0,0,-1,0,3,1,1
gs.ilogenci.com/,1,0,16,1,0,0,0,-1,0,1,1,0
http://bd.skmsok.top,1,0,20,1,0,0,0,1,0,3,1,1
http://pks.ilogenis.com,1,0,23,1,0,0,0,1,0,2,0,1
https://bit.ly/3MUiPkU,1,0,22,1,0,0,0,0,1,3,0,1
http://a2dg.oiwm.miami,1,0,22,1,0,0,0,1,0,2,0,0
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,1,1
kkm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,2,0,0
mmk.ilogenksm.com/,1,0,18,1,0,0,0,-1,0,3,1,0
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,0,1
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,3,0,1
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,4,1,1
bmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,1,0
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,3,1,0
https://zrr.kr/cslV,1,0,19,1,0,0,0,0,1,2,0,0
https://zrr.kr/cTBI,1,0,19,1,0,0,0,0,1,3,1,1
http://kdcn.vip,1,0,15,1,0,0,0,0,0,3,0,1
bmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,3,1,1
skm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,4,0,0
skm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,4,0,0
skm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,1,1,0
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,0,0
ks.ilogenkk.com/,1,0,16,1,0,0,0,-1,0,1,1,1
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,1,0,0
http://gdgsd.msiue.fun,1,0,22,1,0,0,0,1,0,1,1,1
skm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,2,1,0
skk.ilogenck.com/,1,0,17,1,0,0,0,-1,0,2,0,0
https://si.sjdww.top,1,0,20,1,0,0,0,1,1,3,0,1
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,1,1,0
https://c11.kr/1axri,1,0,20,1,0,0,0,0,1,3,0,1
skk.ilogenck.com/,1,0,17,1,0,0,0,-1,0,1,0,1
ks.ilogenkk.com/,1,0,16,1,0,0,0,-1,0,4,1,1
ks.ilogenkk.com/,1,0,16,1,0,0,0,-1,0,1,1,0
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,4,1,1
https://bit.ly/3TYbeEp,1,0,22,1,0,0,0,0,1,2,1,0
https://zrr.kr/rJZX,1,0,19,1,0,0,0,0,1,3,0,1
https://url.kr/hOQXS9,1,0,21,1,0,0,0,0,1,2,1,1
http://hhw.nsovu.kr,1,0,19,1,0,0,0,1,0,2,1,1
http://ji7f.znek.agency,1,0,23,1,0,0,0,1,0,3,0,0
http://nfswz.nftsout.com,1,0,24,1,0,0,0,1,0,3,0,1
http://xcvs.uwin.casa,1,0,21,1,0,0,0,1,0,3,1,0
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,0,0
skk.ilogenck.com/,1,0,17,1,0,0,0,-1,0,2,0,0
ks.ilogenkk.com/,1,0,16,1,0,0,0,-1,0,4,0,1
sin.ilogsnsmi.com/,1,0,18,1,0,0,0,-1,0,1,1,0
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,3,1,0
okm.ilogenbni.com/,1,0,18,1,0,0,0,-1,0,1,1,1
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,2,0,1
nkp.ilogenong.com/,1,0,18,1,0,0,0,-1,0,3,0,1
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,4,1,1
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,3,0,1
http://jy4s.guso.hair,1,0,21,1,0,0,0,1,0,2,1,1
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,1,0,0
kkg.ilogensnb.com/,1,0,18,1,0,0,0,-1,0,4,0,0
http://nnsrb.qrgbn.com,1,0,22,1,0,0,0,1,0,4,1,0
bnm.ilogennci.com/,1,0,18,1,0,0,0,-1,0,2,1,0
http://han.gl/ITWPA,1,0,19,1,0,0,0,0,0,1,1,1
https://bit.ly/3JU87Kh,1,0,22,1,0,0,0,0,1,3,1,1
http://gfhr.wunrx.quest,1,0,23,1,0,0,0,1,0,1,0,0
http://jxcku.qrgbn.com,1,0,22,1,0,0,0,1,0,1,0,0
gks.logessml.com/,1,0,17,1,0,0,0,-1,0,1,1,0
cls.ilogensims.com/,1,0,19,1,0,0,0,-1,0,3,1,1
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,1,0,1
http://hrec.wunrx.quest,1,0,23,1,0,0,0,1,0,3,1,1
skm.ilogenciskn.com/,1,0,20,1,0,0,0,-1,0,3,0,1
mmk.ilogenmd.com/,1,0,17,1,0,0,0,-1,0,2,0,0
kks.logesk.com/,1,0,15,1,0,0,0,-1,0,2,1,1
https://c11.kr/1b5xo,1,0,20,1,0,0,0,0,1,3,1,1
http://hibmd.reagz.com,1,0,22,1,0,0,0,1,0,2,1,1
https://c11.kr/1ak6y,1,0,20,1,0,0,0,0,1,1,0,0
ksg.ilognoid.com/,1,0,17,1,0,0,0,-1,0,3,0,1
http://8fdcs.ztos.hair,1,0,22,1,0,0,0,1,0,2,1,1
http://nvajv.qrgbn.com,1,0,22,1,0,0,0,1,0,4,0,1
http://etnyc.qngcb.com,1,0,22,1,0,0,0,1,0,2,0,0
kgm.ilognoid.com,1,0,16,1,0,0,0,-1,0,1,1,1
http://dvznz.dvcho.com,1,0,22,1,0,0,0,1,0,1,1,0
gms.logessml.com/,1,0,17,1,0,0,0,-1,0,1,0,1
http://hltfh.dvcho.com,1,0,22,1,0,0,0,1,0,3,1,0
http://plejs.qngcb.com,1,0,22,1,0,0,0,1,0,1,1,0
http://dvznz.dvcho.com,1,0,22,1,0,0,0,1,0,2,1,0
http://puebh.qrgbn.com,1,0,22,1,0,0,0,1,0,2,1,1
ksg.ilognoid.com,1,0,16,1,0,0,0,-1,0,2,0,1
kkm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,4,1,0
kgm.ilognoid.com,1,0,16,1,0,0,0,-1,0,4,0,1
http://bjgue.qngcb.com,1,0,22,1,0,0,0,1,0,1,0,0
http://dvznz.dvcho.com,1,0,22,1,0,0,0,1,0,4,0,1
http://vyosq.agdfv.com,1,0,22,1,0,0,0,1,0,1,1,1
http://jlmpi.dvcho.com,1,0,22,1,0,0,0,1,0,4,1,1
http://bjgue.qngcb.com,1,0,22,1,0,0,0,1,0,1,0,1
gms.logessml.com/,1,0,17,1,0,0,0,-1,0,2,0,0
sm.ilognoism.com,1,0,16,1,0,0,0,-1,0,2,0,1
http://klozu.lwor.beauty,1,0,24,1,0,0,0,1,0,1,1,0
https://me2.kr/gfNDz,1,0,20,1,0,0,0,0,1,1,1,0
iobe.t1ac.cyou,1,0,14,1,0,0,0,-1,0,2,1,0
http://kocta.jpxc.hair,1,0,22,1,0,0,0,1,0,2,0,1
http://hrxv.eifxwz.live,1,0,23,1,0,0,0,1,0,3,0,1
http://phesr.qrgbn.com,1,0,22,1,0,0,0,1,0,1,1,0
kkm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,2,0,1
gk.ilognoild.com,1,0,16,1,0,0,0,-1,0,1,0,0
ksm.logenksn.co/,1,0,16,1,0,0,0,-1,0,3,1,1
http://rfmlc.dvcho.com,1,0,22,1,0,0,0,1,0,4,0,1
http://t9y.me/fpSq,1,0,18,1,0,0,0,0,0,3,0,0
http://uicv.eiftx.asia,1,0,22,1,0,0,0,1,0,2,0,1
http://znux.xnowe.rocks,1,0,23,1,0,0,0,1,0,4,1,0
http://frx.einxh.asia,1,0,21,1,0,0,0,1,0,1,1,1
http://be.eiftx.asia,1,0,20,1,0,0,0,1,0,4,1,1
http://frx.einxh.asia,1,0,21,1,0,0,0,1,0,3,0,0
http://htesz.xnowe.rocks,1,0,24,1,0,0,0,1,0,1,1,0
jtsx.sentr.expert,1,0,17,1,0,0,0,-1,0,1,1,0
http://frx.sentr.expert,1,0,23,1,0,0,0,1,0,1,0,1
http://fecv.akoi.expert,1,0,23,1,0,0,0,1,0,3,1,0
http://iop.golzw.loan,1,0,21,1,0,0,0,1,0,4,1,1
http://iop.golzw.loan,1,0,21,1,0,0,0,1,0,2,1,0
http://iop.golzw.loan,1,0,21,1,0,0,0,1,0,4,0,0
http://gdfev.wicuz.casa,1,0,23,1,0,0,0,1,0,1,1,1
kgm.ilognoid.com,1,0,16,1,0,0,0,-1,0,1,0,1
sm.ilognoism.com,1,0,16,1,0,0,0,-1,0,4,1,1
gk.ilognoild.com,1,0,16,1,0,0,0,-1,0,3,0,0
bck.ilogsps.com/,1,0,16,1,0,0,0,-1,0,4,1,1
bk.ilogekg.com,1,0,14,1,0,0,0,-1,0,4,0,0
gks.logessml.com/,1,0,17,1,0,0,0,-1,0,3,0,0
kks.logesmk.com/,1,0,16,1,0,0,0,-1,0,3,1,1
dms.ilogsps.com,1,0,15,1,0,0,0,-1,0,3,0,1
kkm.ilogenck.com/,1,0,17,1,0,0,0,-1,0,3,1,0
mk.logenkk.com/,1,0,15,1,0,0,0,-1,0,1,0,1
ggk.ilogesi.com/,1,0,16,1,0,0,0,-1,0,2,1,0
kkg.ilogensnb.com/,1,0,18,1,0,0,0,-1,0,4,0,1
http://htesz.xnowe.rocks,1,0,24,1,0,0,0,1,0,3,0,1
